area_type,availability,location,total_sqft,bath,balcony,price,bhk_size,price_per_sqft
Super built-up  Area,Ready To Move,Manayata Tech Park,1100.0,2.0,2.0,4800000.0,2,4363.636363636364
Built-up  Area,Ready To Move,Kengeri,600.0,1.0,1.0,1500000.0,1,2500.0
Super built-up  Area,19-Dec,Binny Pete,1755.0,3.0,1.0,12200000.0,3,6951.5669515669515
Plot  Area,Ready To Move,Thanisandra,2800.0,5.0,2.0,38000000.0,4,13571.42857142857
Super built-up  Area,Ready To Move,Bellandur,1767.0,3.0,1.0,10300000.0,3,5829.088851160159
Super built-up  Area,18-Nov, Thanisandra,510.0,1.0,0.0,2525000.0,1,4950.980392156863
Super built-up  Area,18-May,Mangammanapalya,1250.0,3.0,2.0,5600000.0,3,4480.0
Super built-up  Area,Ready To Move,Electronic City,660.0,1.0,1.0,2310000.0,2,3500.0
Built-up  Area,20-Dec,Whitefield,1610.0,3.0,2.0,8100000.0,3,5031.055900621118
Super built-up  Area,17-Oct,Ramagondanahalli,1151.0,2.0,2.0,4877000.0,2,4237.185056472633
Super built-up  Area,Ready To Move,Electronic City,1025.0,2.0,1.0,4700000.0,3,4585.365853658536
Super built-up  Area,19-Dec,Yelahanka,2475.0,4.0,0.0,18600000.0,4,7515.151515151515
Super built-up  Area,Ready To Move,Bisuvanahalli,1075.0,2.0,1.0,3500000.0,3,3255.813953488372
Super built-up  Area,Ready To Move,Hebbal,1760.0,2.0,2.0,12300000.0,3,6988.636363636364
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1693.0,3.0,3.0,5739000.0,3,3389.84051978736
Built-up  Area,Ready To Move,Kasturi Nagar,1925.0,3.0,2.0,12500000.0,3,6493.506493506494
Super built-up  Area,21-Dec,Kanakpura Road,700.0,2.0,1.0,3600000.0,2,5142.857142857143
Super built-up  Area,Ready To Move,Electronics City Phase 1,1070.0,2.0,1.0,4550000.0,2,4252.336448598131
Super built-up  Area,Ready To Move,Kundalahalli,1724.0,3.0,2.0,12500000.0,3,7250.580046403712
Super built-up  Area,Ready To Move,Chikkalasandra,1290.0,2.0,2.0,5612000.0,3,4350.387596899225
Built-up  Area,Ready To Move,Uttarahalli,1143.0,2.0,2.0,4500000.0,2,3937.0078740157483
Built-up  Area,Ready To Move,Murugeshpalya,1296.0,2.0,2.0,8100000.0,2,6250.0
Super built-up  Area,19-Dec,Sarjapur  Road,1254.0,3.0,2.0,3800000.0,3,3030.3030303030305
Super built-up  Area,Ready To Move,Ganga Nagar,600.0,1.0,0.0,3800000.0,1,6333.333333333333
Plot  Area,Ready To Move,Yelahanka,660.0,1.0,0.0,4800000.0,1,7272.727272727273
Super built-up  Area,19-Sep,Kanakpura Road,1330.74,2.0,2.0,9179000.0,2,6897.665960292769
Plot  Area,Ready To Move,HSR Layout,600.0,9.0,2.0,20000000.0,8,33333.333333333336
Super built-up  Area,Ready To Move,Doddathoguru,970.0,2.0,0.0,3300000.0,2,3402.061855670103
Super built-up  Area,20-Sep,Whitefield,1459.0,2.0,1.0,9482000.0,2,6498.971898560658
Plot  Area,Ready To Move,KR Puram,800.0,1.0,1.0,13000000.0,2,16250.0
Built-up  Area,Ready To Move,Himagiri Meadows,869.0,2.0,1.0,3600000.0,2,4142.692750287687
Super built-up  Area,Ready To Move,Adarsh Nagar,1270.0,2.0,1.0,5000000.0,2,3937.0078740157483
Super built-up  Area,18-Mar,Bhoganhalli,1670.0,3.0,1.0,9900000.0,3,5928.143712574851
Built-up  Area,Ready To Move,Whitefield,2010.0,3.0,2.0,9100000.0,3,4527.363184079602
Super built-up  Area,Ready To Move,Lakshminarayana Pura,1185.0,2.0,2.0,7500000.0,2,6329.113924050633
Super built-up  Area,Ready To Move,Yelahanka,1600.0,2.0,3.0,7500000.0,3,4687.5
Super built-up  Area,Ready To Move,Begur Road,1200.0,2.0,2.0,4400000.0,2,3666.6666666666665
Built-up  Area,20-Feb,Devanahalli,3210.0,3.0,2.0,19200000.0,4,5981.308411214954
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,1500.0,2.0,2.0,18500000.0,2,12333.333333333334
Plot  Area,Ready To Move,Murugeshpalya,1407.0,4.0,1.0,15000000.0,6,10660.980810234541
Super built-up  Area,Ready To Move,Govindaraja Nagar Ward,840.0,2.0,2.0,4500000.0,2,5357.142857142857
Plot  Area,Ready To Move,Tharabanahalli,4395.0,3.0,2.0,24000000.0,3,5460.750853242321
Super built-up  Area,Ready To Move,Ganga Nagar,845.0,2.0,1.0,5500000.0,2,6508.87573964497
Plot  Area,Ready To Move,Whitefield,5700.0,5.0,3.0,65000000.0,4,11403.508771929824
Built-up  Area,Ready To Move,Varthur,1160.0,2.0,2.0,4400000.0,2,3793.103448275862
Built-up  Area,Ready To Move,Bommanahalli,3000.0,8.0,0.0,14000000.0,8,4666.666666666667
Super built-up  Area,Ready To Move,Doddathoguru,1100.0,2.0,1.0,6200000.0,2,5636.363636363636
Super built-up  Area,18-Apr,Gunjur,1140.0,2.0,3.0,4300000.0,2,3771.9298245614036
Super built-up  Area,Ready To Move,Marathahalli,1220.0,2.0,1.0,5700000.0,2,4672.131147540984
Plot  Area,Ready To Move,Devarachikkanahalli,1350.0,7.0,0.0,8500000.0,8,6296.2962962962965
Super built-up  Area,Ready To Move,Kanakpura Road,1005.0,2.0,1.0,3668000.0,2,3649.7512437810947
Plot  Area,Ready To Move,Double Road,500.0,3.0,2.0,10000000.0,3,20000.0
Super built-up  Area,20-Aug,Begur Road,1358.0,2.0,1.0,8058000.0,2,5933.726067746687
Super built-up  Area,Ready To Move,Hegde Nagar,1569.0,3.0,1.0,10100000.0,3,6437.221159974506
Super built-up  Area,18-Apr,Haralur Road,1240.0,2.0,1.0,7000000.0,2,5645.1612903225805
Super built-up  Area,Ready To Move,Hennur Road,2089.0,3.0,2.0,14000000.0,3,6701.771182383915
Super built-up  Area,Ready To Move,Kothannur,1206.0,2.0,1.0,4823000.0,2,3999.1708126036483
Super built-up  Area,Ready To Move,Kalena Agrahara,1150.0,2.0,3.0,4000000.0,2,3478.2608695652175
Built-up  Area,Ready To Move,Cholanayakanahalli,2511.0,3.0,3.0,20500000.0,3,8164.078056551175
Built-up  Area,Ready To Move,Kaval Byrasandra,460.0,1.0,0.0,2200000.0,2,4782.608695652174
Built-up  Area,Ready To Move,ISRO Layout,4400.0,6.0,3.0,25000000.0,6,5681.818181818182
Super built-up  Area,Ready To Move,Kodanda Reddy Layout,1660.0,2.0,2.0,10500000.0,3,6325.301204819277
Built-up  Area,18-Oct,Hennur Road,3203.5,3.0,2.0,22450000.0,4,7007.960043702201
Super built-up  Area,19-Mar,Yelahanka,1326.0,2.0,2.0,7800000.0,2,5882.35294117647
Super built-up  Area,Ready To Move,Garudachar Palya,1325.0,2.0,2.0,6080000.0,3,4588.679245283019
Super built-up  Area,Ready To Move,EPIP Zone,1499.0,5.0,2.0,10200000.0,3,6804.536357571715
Built-up  Area,Ready To Move,Hegde Nagar,3000.0,7.0,2.0,21000000.0,6,7000.0
Super built-up  Area,Ready To Move,Kanakpura Road,1665.0,3.0,2.0,8800000.0,3,5285.285285285286
Super built-up  Area,17-Sep,Dasanapura,708.0,2.0,2.0,3700000.0,2,5225.988700564972
Super built-up  Area,Ready To Move,Kasavanhalli,1060.0,2.0,2.0,5806000.0,2,5477.358490566037
Plot  Area,Ready To Move,Rajaji Nagar,710.0,6.0,3.0,16000000.0,6,22535.211267605635
Built-up  Area,Ready To Move,Sanjay nagar,1000.0,2.0,2.0,7000000.0,2,7000.0
Super built-up  Area,18-Dec,Electronic City,1000.0,2.0,1.0,2888000.0,2,2888.0
Super built-up  Area,Ready To Move, Mysore Highway,1450.0,2.0,2.0,7000000.0,3,4827.586206896552
Plot  Area,Ready To Move,ISRO Layout,1200.0,4.0,2.0,15500000.0,4,12916.666666666666
Super built-up  Area,17-Aug,Thanisandra,1296.0,2.0,3.0,8000000.0,2,6172.83950617284
Super built-up  Area,Ready To Move,Domlur,1540.0,3.0,2.0,9000000.0,3,5844.1558441558445
Plot  Area,Ready To Move,Kengeri,2894.0,4.0,1.0,24500000.0,4,8465.791292328957
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,1330.0,2.0,1.0,4800000.0,3,3609.0225563909776
Built-up  Area,Ready To Move,Devasthanagalu,1200.0,2.0,1.0,6500000.0,2,5416.666666666667
Built-up  Area,Ready To Move,T Dasarahalli,1200.0,3.0,1.0,9000000.0,3,7500.0
Super built-up  Area,Ready To Move,Yeshwanthpur,2502.0,3.0,3.0,13800000.0,3,5515.587529976019
Built-up  Area,Ready To Move,Chandapura,650.0,1.0,1.0,1700000.0,2,2615.3846153846152
Plot  Area,Ready To Move,Kothanur,2400.0,2.0,1.0,15000000.0,3,6250.0
Super built-up  Area,Ready To Move,Green View Layout,1007.0,2.0,2.0,4300000.0,2,4270.109235352532
Super built-up  Area,Ready To Move,Shantiniketan Layout,1200.0,2.0,2.0,5000000.0,2,4166.666666666667
Super built-up  Area,Ready To Move,Peenya,966.0,2.0,2.0,4990000.0,2,5165.631469979296
Built-up  Area,Ready To Move,Nagarbhavi,1630.0,2.0,1.0,9800000.0,3,6012.269938650306
Built-up  Area,Ready To Move,Rajaji Nagar,1640.0,3.0,2.0,22900000.0,3,13963.414634146342
Built-up  Area,Ready To Move,Jalahalli West,782.0,2.0,2.0,5568000.0,2,7120.204603580562
Super built-up  Area,19-Apr,Devanahalli,1260.0,2.0,2.0,6678000.0,2,5300.0
Super built-up  Area,Ready To Move,Lakshmiamma Garden,1800.0,3.0,3.0,12000000.0,3,6666.666666666667
Super built-up  Area,Ready To Move,Byatarayanapura,1413.0,2.0,2.0,7500000.0,3,5307.855626326964
Super built-up  Area,Ready To Move,Whitefield,1116.0,2.0,1.0,5191000.0,2,4651.433691756272
Super built-up  Area,Ready To Move,Electronic City,1530.0,2.0,1.0,4590000.0,3,3000.0
Built-up  Area,Ready To Move,Ramamurthy Nagar,3700.0,4.0,1.0,22500000.0,4,6081.081081081081
Built-up  Area,Ready To Move,Sarjapur  Road,2497.0,3.0,2.0,14000000.0,3,5606.728073688426
Super built-up  Area,Ready To Move,Kengeri,1540.0,2.0,3.0,6400000.0,3,4155.8441558441555
Super built-up  Area,18-Dec,Thanisandra,1436.0,3.0,1.0,7475000.0,3,5205.431754874652
Super built-up  Area,18-Jun,Malleshwaram,1100.0,2.0,2.0,7500000.0,2,6818.181818181818
Plot  Area,Ready To Move,Hennur Road,276.0,3.0,3.0,2300000.0,2,8333.333333333334
Super built-up  Area,Ready To Move,Thanisandra,1427.0,3.0,2.0,12000000.0,3,8409.250175192712
Super built-up  Area,Ready To Move,Akshaya Nagar,2061.0,3.0,1.0,20000000.0,3,9704.02717127608
Super built-up  Area,18-Mar,Hebbal,5611.5,4.0,0.0,47700000.0,4,8500.400962309543
Built-up  Area,Ready To Move,Shampura,2650.0,4.0,2.0,15000000.0,4,5660.377358490566
Super built-up  Area,22-Dec,Devanahalli,1282.0,2.0,2.0,6852000.0,3,5344.773790951638
Built-up  Area,Ready To Move,Kadugodi,1050.0,2.0,1.0,3400000.0,2,3238.095238095238
Built-up  Area,Ready To Move,LB Shastri Nagar,1600.0,3.0,2.0,6500000.0,3,4062.5
Super built-up  Area,22-Jan,Vajarahalli,945.0,2.0,1.0,5400000.0,2,5714.285714285715
Super built-up  Area,Ready To Move,Hormavu,1500.0,2.0,1.0,7800000.0,2,5200.0
Plot  Area,Ready To Move,Vishwapriya Layout,950.0,7.0,0.0,11500000.0,7,12105.263157894737
Built-up  Area,Ready To Move,Peenya,1870.0,3.0,3.0,11000000.0,3,5882.35294117647
Plot  Area,Ready To Move,Sarjapur,1600.0,3.0,1.0,7500000.0,3,4687.5
Super built-up  Area,Ready To Move,Electronic City,880.0,1.0,1.0,1650000.0,2,1875.0
Plot  Area,Ready To Move,Ramaswamy Palya - Kammanahalli Main Road,1200.0,4.0,0.0,21000000.0,4,17500.0
Super built-up  Area,Ready To Move,Kudlu Gate,1535.0,3.0,2.0,8300000.0,3,5407.166123778502
Built-up  Area,Ready To Move,Kanakpura Road,950.0,2.0,1.0,5700000.0,2,6000.0
Super built-up  Area,18-Aug,Devanahalli,1360.0,2.0,1.0,6500000.0,2,4779.411764705882
Super built-up  Area,19-Mar,8th Phase JP Nagar,1073.5,2.0,0.0,5400500.0,2,5030.740568234746
Super built-up  Area,18-May,Bommasandra Industrial Area,1280.0,3.0,1.0,5040000.0,3,3937.5
Super built-up  Area,19-Jan,Chandra Layout,1260.0,2.0,2.0,8505000.0,3,6750.0
Built-up  Area,Ready To Move,Hennur Road,5000.0,8.0,2.0,25000000.0,8,5000.0
Super built-up  Area,19-Dec,Yelahanka,3050.0,5.0,1.0,21300000.0,5,6983.606557377049
Super built-up  Area,Ready To Move,Kasavanhalli,1563.05,3.0,1.0,10500000.0,3,6717.635392341896
Super built-up  Area,Ready To Move,ISRO Layout,1000.0,2.0,1.0,6000000.0,2,6000.0
Super built-up  Area,17-Jul,Anandapura,1167.0,2.0,1.0,4376000.0,2,3749.7857754927163
Super built-up  Area,Ready To Move,Vishveshwarya Layout,4000.0,7.0,2.0,22500000.0,7,5625.0
Super built-up  Area,Ready To Move,Kothanur,1828.0,3.0,2.0,11000000.0,3,6017.505470459519
Super built-up  Area,Ready To Move,Kengeri Satellite Town,890.0,2.0,1.0,3500000.0,2,3932.5842696629215
Super built-up  Area,Ready To Move,Basavanapura,1612.0,3.0,3.0,4674000.0,3,2899.5037220843674
Plot  Area,Ready To Move,Dinnur,1034.0,5.0,2.0,18500000.0,6,17891.682785299807
Super built-up  Area,19-Apr,Mysore Road,1710.0,4.0,2.0,9131000.0,3,5339.766081871345
Super built-up  Area,Ready To Move,Kannamangala,957.0,2.0,1.0,5800000.0,2,6060.606060606061
Super built-up  Area,18-May, Devarachikkanahalli,1250.0,2.0,3.0,4400000.0,3,3520.0
Super built-up  Area,Ready To Move,Sanjeevini Nagar,2795.0,4.0,2.0,23500000.0,3,8407.871198568873
Super built-up  Area,Ready To Move,Hulimavu,1125.0,2.0,2.0,5000000.0,2,4444.444444444444
Super built-up  Area,18-Jul,Electronic City Phase II,1020.0,2.0,1.0,3060000.0,2,3000.0
Super built-up  Area,Ready To Move,Kalena Agrahara,1200.0,2.0,2.0,5000000.0,2,4166.666666666667
Super built-up  Area,Ready To Move,Thanisandra,1735.0,3.0,3.0,13500000.0,3,7780.979827089337
Super built-up  Area,Ready To Move,Thanisandra,2050.0,3.0,1.0,14500000.0,3,7073.170731707317
Plot  Area,Ready To Move,Mahalakshmi Layout,3750.0,4.0,0.0,76000000.0,4,20266.666666666668
Built-up  Area,Ready To Move,Yarandahalli,1350.0,2.0,3.0,4800000.0,3,3555.5555555555557
Super built-up  Area,18-May,Hosa Road,1063.0,2.0,1.0,3200000.0,2,3010.348071495767
Super built-up  Area,Ready To Move,Keshava Nagar,1904.0,3.0,1.0,15000000.0,3,7878.151260504202
Built-up  Area,Ready To Move,Whitefield,4200.0,4.0,2.0,42000000.0,4,10000.0
Super built-up  Area,Ready To Move,RMV Extension,2000.0,3.0,1.0,17500000.0,3,8750.0
Super built-up  Area,18-Dec,Sarjapur,1242.5,2.0,0.0,4349000.0,2,3500.201207243461
Super built-up  Area,Ready To Move,Tejaswini Nagar,1425.0,2.0,2.0,7500000.0,3,5263.1578947368425
Super built-up  Area,Ready To Move,Electronic City,1500.0,2.0,1.0,6450000.0,3,4300.0
Built-up  Area,Ready To Move,Electronic City,1060.0,2.0,1.0,6000000.0,2,5660.377358490566
Built-up  Area,Ready To Move,Jai Bheema Nagar,1470.0,2.0,2.0,7000000.0,3,4761.9047619047615
Super built-up  Area,Ready To Move,Kothnur Narayanapura,1300.0,6.0,0.0,9900000.0,6,7615.384615384615
Super built-up  Area,Ready To Move,Attibele,450.0,1.0,1.0,1100000.0,1,2444.4444444444443
Super built-up  Area,18-Apr,Electronic City,1152.0,2.0,1.0,6450000.0,2,5598.958333333333
Super built-up  Area,Ready To Move,Electronic City,1350.0,2.0,1.0,5600000.0,3,4148.148148148148
Super built-up  Area,Ready To Move,CV Raman Nagar,1550.0,3.0,3.0,6500000.0,3,4193.548387096775
Plot  Area,Ready To Move,CHIKKATIRUPATHI,1500.0,3.0,2.0,10000000.0,3,6666.666666666667
Plot  Area,Ready To Move,Kumaraswami Layout,600.0,3.0,2.0,8500000.0,5,14166.666666666666
Plot  Area,Ready To Move,Nagavara,400.0,1.0,0.0,1400000.0,1,3500.0
Super built-up  Area,Ready To Move,Malleshwaram,705.0,1.0,2.0,6700000.0,1,9503.54609929078
Built-up  Area,Ready To Move,Electronic City,770.0,1.0,1.0,3600000.0,2,4675.324675324675
Super built-up  Area,Ready To Move,Hulimavu,1242.0,2.0,3.0,5100000.0,2,4106.280193236715
Super built-up  Area,Ready To Move,Hebbal Kempapura,1700.0,3.0,2.0,15500000.0,3,9117.64705882353
Super built-up  Area,Ready To Move,Thanisandra,2144.0,3.0,2.0,14500000.0,3,6763.059701492537
Super built-up  Area,21-Jun,Vijayanagar,1704.0,3.0,2.0,11000000.0,3,6455.399061032864
Super built-up  Area,Ready To Move,Electronic City,1070.0,2.0,1.0,5200000.0,2,4859.813084112149
Plot  Area,Ready To Move,8th block Koramangala,1846.0,3.0,2.0,30000000.0,3,16251.354279523293
Super built-up  Area,Ready To Move,Jakkuru Layout,1340.0,2.0,2.0,5570000.0,2,4156.7164179104475
Built-up  Area,Ready To Move,Electronic City,1025.0,2.0,1.0,4600000.0,2,4487.804878048781
Super built-up  Area,Ready To Move,KR Puram,1277.5,2.0,0.0,5680000.0,2,4446.183953033268
Super built-up  Area,Ready To Move,Marathahalli,1200.0,2.0,2.0,5200000.0,2,4333.333333333333
Built-up  Area,18-Dec,Kanakpura Road,2250.0,4.0,1.0,11000000.0,4,4888.888888888889
Super built-up  Area,Ready To Move,Pattandur Agrahara,1550.0,2.0,3.0,8000000.0,3,5161.290322580645
Plot  Area,Ready To Move,Bellandur,1200.0,5.0,2.0,32500000.0,4,27083.333333333332
Plot  Area,Ready To Move,Ejipura,1800.0,7.0,1.0,25000000.0,7,13888.888888888889
Super built-up  Area,Ready To Move,Marathahalli,1200.0,2.0,2.0,6000000.0,2,5000.0
Super built-up  Area,Ready To Move,Yelahanka,1327.0,2.0,2.0,9800000.0,2,7385.079125847777
Super built-up  Area,Ready To Move,Kothanur,1186.0,2.0,2.0,5800000.0,2,4890.387858347386
Built-up  Area,Ready To Move,MS Pallya,1783.0,3.0,1.0,11500000.0,3,6449.8037016264725
Super built-up  Area,Ready To Move,HSR Layout,1400.0,3.0,2.0,5600000.0,3,4000.0
Super built-up  Area,Ready To Move,Nagasandra,980.0,2.0,1.0,4800000.0,2,4897.959183673469
Super built-up  Area,Ready To Move,EPIP Zone,1285.0,2.0,2.0,8200000.0,2,6381.322957198444
Super built-up  Area,Ready To Move,Langford Town,912.0,2.0,1.0,7000000.0,3,7675.438596491228
Built-up  Area,Ready To Move,Whitefield,1225.0,2.0,2.0,4760000.0,2,3885.714285714286
Super built-up  Area,Ready To Move,Whitefield,1075.0,2.0,1.0,5300000.0,2,4930.232558139535
Built-up  Area,Ready To Move,Kadugodi,1260.0,2.0,2.0,5400000.0,3,4285.714285714285
Super built-up  Area,Ready To Move,Yelahanka,1282.0,2.0,2.0,4870000.0,3,3798.751950078003
Super built-up  Area,Ready To Move,Kogilu,1909.0,3.0,2.0,8800000.0,3,4609.743321110529
Super built-up  Area,Ready To Move,Panathur,1359.0,2.0,1.0,8700000.0,2,6401.766004415011
Built-up  Area,Ready To Move,Nagondanahalli,1207.0,2.0,2.0,4350000.0,2,3603.976801988401
Plot  Area,Ready To Move,Padmanabhanagar,1736.0,6.0,0.0,19000000.0,4,10944.700460829494
Super built-up  Area,20-May,1st Block Jayanagar,2850.0,4.0,1.0,42800000.0,4,15017.543859649122
Super built-up  Area,Ready To Move,Kammasandra,1595.0,3.0,2.0,6500000.0,3,4075.2351097178685
Built-up  Area,18-Jun,"Off Sarjapur Road, ",1798.0,3.0,2.0,8900000.0,3,4949.944382647386
Super built-up  Area,Ready To Move,Electronics City Phase 1,1475.0,3.0,2.0,7829000.000000001,3,5307.796610169492
Super built-up  Area,Ready To Move,Tala Cauvery Layout,1580.0,3.0,3.0,10000000.0,3,6329.113924050633
Super built-up  Area,Ready To Move,Dasarahalli,1295.0,2.0,1.0,6500000.0,2,5019.305019305019
Built-up  Area,Ready To Move,Magadi Road,3600.0,6.0,0.0,14100000.0,6,3916.6666666666665
Super built-up  Area,Ready To Move,Electronic City,589.0,1.0,1.0,2700000.0,1,4584.040747028863
Super built-up  Area,Ready To Move,Ngef Layout,1415.0,3.0,3.0,7800000.0,3,5512.367491166077
Super built-up  Area,18-Dec,Sarjapur  Road,1787.0,3.0,2.0,9829000.0,3,5500.279798545048
Super built-up  Area,Ready To Move,Sarjapur  Road,1787.0,3.0,2.0,12500000.0,3,6994.963626189144
Super built-up  Area,Ready To Move,Koramangala,1475.0,2.0,3.0,9000000.0,3,6101.6949152542375
Built-up  Area,Ready To Move,"Lakshminarayanapura, Electronic City Phase 2",2000.0,4.0,1.0,7550000.0,4,3775.0
Super built-up  Area,19-Mar,Sarjapur  Road,984.0,2.0,1.0,4428000.0,2,4500.0
Super built-up  Area,19-Dec,Devanahalli,1630.0,3.0,2.0,7481999.999999999,3,4590.184049079754
Super built-up  Area,Ready To Move,Muthurayya Swamy Layout,2405.0,4.0,2.0,26000000.0,3,10810.81081081081
Built-up  Area,Ready To Move,7th Phase JP Nagar,1080.0,2.0,2.0,7200000.0,2,6666.666666666667
Plot  Area,Ready To Move,Shantiniketan Layout,1500.0,2.0,1.0,11500000.0,2,7666.666666666667
Super built-up  Area,Ready To Move,Hebbal,1900.0,3.0,2.0,11900000.0,3,6263.1578947368425
Super built-up  Area,19-Aug,Dommasandra,805.0,2.0,1.0,2214000.0,2,2750.3105590062114
Super built-up  Area,Ready To Move,Budigere,1153.0,2.0,2.0,5640000.0,2,4891.587163920208
Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,1148.0,2.0,2.0,6000000.0,2,5226.480836236934
Super built-up  Area,Ready To Move,Mylasandra,1110.0,2.0,2.0,5500000.0,2,4954.954954954955
Built-up  Area,Ready To Move,Electronic City,1100.0,2.0,2.0,4200000.0,2,3818.181818181818
Super built-up  Area,Ready To Move,Kalyan nagar,1290.0,2.0,2.0,11000000.0,2,8527.131782945737
Super built-up  Area,Ready To Move,Dr Shivarama Karantha Nagar,1500.0,2.0,1.0,6500000.0,3,4333.333333333333
Super built-up  Area,18-Apr,Bank Of Baroda Colony,1080.0,2.0,2.0,3900000.0,2,3611.1111111111113
Super built-up  Area,21-Jun,Vijayanagar,1933.0,3.0,1.0,12900000.0,3,6673.564407656492
Built-up  Area,Ready To Move,Ramamurthy Nagar,3500.0,5.0,2.0,15000000.0,5,4285.714285714285
Built-up  Area,Ready To Move,Kullappa Colony,1060.0,2.0,2.0,6000000.0,2,5660.377358490566
Super built-up  Area,18-Aug,Chandapura,645.0,1.0,1.0,1645000.0,1,2550.3875968992247
Plot  Area,Ready To Move,Mukkutam Nagar,2600.0,8.0,2.0,18000000.0,8,6923.076923076923
Super built-up  Area,18-Sep,Chandapura,645.0,1.0,1.0,1645000.0,1,2550.3875968992247
Super built-up  Area,Ready To Move,Ashwath Nagar,1644.0,3.0,3.0,8400000.0,3,5109.489051094891
Super built-up  Area,Ready To Move,Ncpr Industrial Layout,1285.0,2.0,3.0,7250000.0,2,5642.023346303502
Plot  Area,Ready To Move,Electronic City,1200.0,3.0,1.0,9000000.0,3,7500.0
Super built-up  Area,Ready To Move,Electronic City,910.0,2.0,1.0,4000000.0,2,4395.604395604396
Super built-up  Area,Ready To Move,Kothanur,1577.0,3.0,1.0,7000000.0,3,4438.807863031072
Plot  Area,17-May,Meenakunte,4050.0,3.0,2.0,28000000.0,3,6913.580246913581
Super built-up  Area,Ready To Move,OMBR Layout,2420.0,3.0,2.0,18500000.0,3,7644.628099173554
Super built-up  Area,Ready To Move,Chandapura,800.0,1.0,1.0,2000000.0,2,2500.0
Built-up  Area,Ready To Move,Anand Nagar,1060.0,2.0,2.0,5500000.0,2,5188.679245283019
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1270.0,2.0,2.0,9300000.0,2,7322.834645669292
Super built-up  Area,18-Jun,Shree Ananth Nagar Layout,900.0,2.0,2.0,2250000.0,2,2500.0
Built-up  Area,Ready To Move,Kundalahalli Colony,1280.0,2.0,1.0,6900000.0,2,5390.625
Plot  Area,Ready To Move,Horamavu Agara,1200.0,2.0,0.0,9500000.0,4,7916.666666666667
Built-up  Area,Ready To Move,Sarjapur  Road,1025.0,2.0,2.0,3600000.0,2,3512.1951219512193
Super built-up  Area,17-Jun,Electronic City,1108.0,2.0,1.0,6300000.0,2,5685.9205776173285
Plot  Area,Ready To Move,MCECHS  layout,1200.0,5.0,2.0,17000000.0,5,14166.666666666666
Super built-up  Area,Ready To Move,Coffee Board Layout,3045.0,3.0,2.0,17000000.0,3,5582.922824302134
Plot  Area,Ready To Move,Ambedkar Nagar,2900.0,3.0,2.0,30000000.0,4,10344.827586206897
Super built-up  Area,Ready To Move,Vijayanagar,1500.0,3.0,2.0,7550000.0,3,5033.333333333333
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1295.0,2.0,2.0,4390000.0,2,3389.96138996139
Super built-up  Area,Ready To Move,Budigere,1162.0,2.0,1.0,5990000.0,2,5154.9053356282275
Super built-up  Area,Ready To Move,Sarjapur  Road,1035.0,2.0,2.0,4920000.0,2,4753.623188405797
Built-up  Area,Ready To Move,Attibele,1600.0,4.0,0.0,5280000.0,4,3300.0
